file,n,m,regime,pvc_size,pvc_proportion,winner,epsilon
00068-00000897.soi,15,10,n = m,4,0.4,5,0.0
00068-00000898.soi,15,12,n = m,3,0.25,6,0.0
00068-00000900.soi,15,12,n = m,4,0.3333333333333333,6,0.0
00068-00000901.soi,15,12,n = m,2,0.16666666666666666,10,0.0
00068-00000905.soi,15,11,n = m,3,0.2727272727272727,10,0.0
00068-00000915.soi,15,10,n = m,3,0.3,6,0.0
00068-00000917.soi,15,10,n = m,4,0.4,8,0.0
00068-00000923.soi,15,13,n = m,5,0.38461538461538464,5,0.0
00068-00000930.soi,15,13,n = m,2,0.15384615384615385,12,0.04615384615384621
00068-00000931.soi,15,10,n = m,2,0.2,8,0.0
00068-00000932.soi,15,11,n = m,4,0.36363636363636365,8,0.0
00068-00000940.soi,15,15,n = m,4,0.26666666666666666,4,0.0
00068-00000941.soi,15,10,n = m,4,0.4,3,0.0
00068-00000942.soi,15,14,n = m,5,0.35714285714285715,13,0.0
00068-00000944.soi,15,14,n = m,3,0.21428571428571427,1,0.0
00068-00000946.soi,15,14,n = m,2,0.14285714285714285,14,0.0
00068-00000949.soi,15,11,n = m,1,0.09090909090909091,9,0.0
00068-00000950.soi,15,20,n = m,7,0.35,14,0.0
00068-00000951.soi,15,19,n = m,5,0.2631578947368421,15,0.0
00068-00000954.soi,15,12,n = m,4,0.3333333333333333,12,0.050000000000000044
00068-00000955.soi,15,11,n = m,4,0.36363636363636365,8,0.0
00068-00000960.soi,15,10,n = m,5,0.5,4,0.0
00068-00000969.soi,15,20,n = m,3,0.15,14,0.016666666666666607
00068-00000970.soi,15,10,n = m,3,0.3,9,0.0
00068-00000974.soi,15,11,n = m,5,0.45454545454545453,2,0.0
00068-00000975.soi,15,12,n = m,5,0.4166666666666667,5,0.0
00068-00000976.soi,15,10,n = m,2,0.2,8,0.0
00068-00000977.soi,15,11,n = m,4,0.36363636363636365,8,0.0
00068-00000978.soi,15,10,n = m,3,0.3,4,0.0
00068-00000984.soi,15,12,n = m,4,0.3333333333333333,3,0.0
00068-00000993.soi,15,11,n = m,3,0.2727272727272727,11,0.0
00068-00001008.soi,15,10,n = m,3,0.3,2,0.0
00068-00001012.soi,15,12,n = m,1,0.08333333333333333,7,0.0
00068-00001021.soi,15,13,n = m,3,0.23076923076923078,11,0.11282051282051286
00068-00001022.soi,15,11,n = m,2,0.18181818181818182,1,0.0
00068-00001043.soi,15,15,n = m,6,0.4,11,0.0
00068-00001044.soi,15,14,n = m,4,0.2857142857142857,10,0.18571428571428572
00068-00001050.soi,15,11,n = m,3,0.2727272727272727,5,0.0
00068-00001053.soi,15,10,n = m,4,0.4,7,0.0
