file,dataset,dataset_label,n,m,regime,group,pvc_size,pvc_proportion,winner,epsilon
00068-00000005.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,3,0.0
00068-00000007.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),3,0.23076923076923078,3,0.0
00068-00000008.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,3,0.0
00068-00000009.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),1,0.1,4,0.0
00068-00000010.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),1,0.14285714285714285,7,0.0
00068-00000011.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),4,0.8,3,0.0
00068-00000013.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,3,0.0
00068-00000014.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,1,0.0
00068-00000015.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),4,0.5714285714285714,4,0.0
00068-00000016.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),4,0.4,2,0.0
00068-00000018.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,5,0.0
00068-00000019.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,4,0.0
00068-00000021.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),1,0.2,5,0.0
00068-00000024.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),1,0.14285714285714285,2,0.0
00068-00000025.soi,polish,Polish,15,13,n ≈ m,Polish (n ≈ m),3,0.23076923076923078,3,0.0
00068-00000026.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,4,0.0
00068-00000027.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,4,0.0
00068-00000028.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),3,0.21428571428571427,4,0.0
00068-00000031.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,5,0.0
00068-00000034.soi,polish,Polish,23,10,n ≫ m,Polish (n ≫ m),2,0.2,8,0.0
